id_operacion_sio;fecha;año;mes;commodity;fuente;mercado;tipo_precio;operacion;moneda;unidad;precio;precio_original_texto;volumen;volumen_unidad;procedencia;lugar_entrega;condicion_comercial;precio_cero_flag;precio_valido_para_serie;fecha_descarga_snapshot;fecha_actualizacion_dashboard;observaciones
8470414;2026-09-09;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;518700;"518700,00
$";58,75;TN;SANTA FEEUSEBIA;Zona 8En destino;;no;sí;2026-09-09T14:57:26;2026-09-09;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474363;2026-09-10;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;358;"358,00
U$S";3000,00;TN;SANTA FESAN LORENZO;Rosario NEn destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474362;2026-09-10;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;555000;"555000,00
$";600,00;TN;SANTA FEPILAR;Rosario NEn destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474360;2026-09-10;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;293400;"293400,00
$";150,00;TN;SANTA FEVENADO TUERTO;Zona 9En destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474359;2026-09-10;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;293400;"293400,00
$";150,00;TN;CÓRDOBALABOULAYE;Zona 9En destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474358;2026-09-10;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;195;"195,00
U$S";600,00;TN;CÓRDOBAJUSTINIANO POSSE;Rosario NEn destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474357;2026-09-10;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;295000;"295000,00
$";90,00;TN;BUENOS AIRESSALADILLO;Bs AsEn destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474356;2026-09-10;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;198;"198,00
U$S";1500,00;TN;SANTA FEPILAR;Rosario NEn destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474355;2026-09-10;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;195;"195,00
U$S";30,00;TN;CÓRDOBATANCACHA;Rosario NEn destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474354;2026-09-10;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;255425;"255425,00
$";124,81;TN;SANTA FEVENADO TUERTO;Zona 4En destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474353;2026-09-10;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;255425;"255425,00
$";124,81;TN;SANTA FESAN LORENZO;Zona 4En destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474352;2026-09-10;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;225;"225,00
U$S";150,00;TN;BUENOS AIRESCHACABUCO;Rosario SEn destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474348;2026-09-10;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;330835;"330834,90
$";120,00;TN;SANTA FELA GALLARETA;Rosario SEn destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474345;2026-09-10;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;555000;"555000,00
$";22,98;TN;SANTA FELOMA ALTA;Zona 12En destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474343;2026-09-10;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;ARS;TN;537600;"537600,00
$";35,48;TN;CÓRDOBARIO CUARTO;Zona 9En destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: ARS; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8474339;2026-09-10;2026;9;CEBADA FORR.;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;210;"210,00
U$S";90,00;TN;BUENOS AIRESCARMEN DE PATAGONES;B.BlancaEn destino;;no;sí;2026-09-10T17:02:42;2026-09-10;"commodity no catalogado; se conserva para revisión; integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8478286;2026-09-11;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;210;"210,00
U$S";650,00;TN;ENTRE RÍOSSANTA ELENA (ARROYO;Rosario SEn destino;;no;sí;2026-09-11T17:03:34;2026-09-11;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
8478284;2026-09-11;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Precio Hecho;Contrato;USD;TN;200;"200,00
U$S";300,00;TN;CÓRDOBAWENCESLAO ESCALANTE;Rosario SEn destino;;no;sí;2026-09-11T17:03:34;2026-09-11;"integración piloto una página GetOperaciones; moneda extraída explícitamente del campo precio original: USD; snapshot de últimas operaciones; no es histórico completo; observada en snapshot latest"
