commodity;moneda;unidad;tipo_precio;año;mes;periodo_ym;precio_mediana;variacion_mensual_pct;estado
CEBADA CERV.;USD;TN;Compraventa;2026;9;2026-09;240;2.12766;Estable
CEBADA FORR.;ARS;TN;Compraventa;2026;9;2026-09;315420;8.705542;Suba moderada
CEBADA FORR.;USD;TN;Canje;2026;9;2026-09;218.9;6.780488;Suba moderada
CEBADA FORR.;USD;TN;Compraventa;2026;9;2026-09;220;7.317073;Suba moderada
Girasol;ARS;TN;Canje;2026;9;2026-09;758880;2.983395;Estable
Girasol;ARS;TN;Compraventa;2026;9;2026-09;749400;2.818099;Estable
Girasol;USD;TN;Canje;2026;9;2026-09;419;-5.757985;Baja
Girasol;USD;TN;Compraventa;2026;9;2026-09;450;0;Estable
Maíz;ARS;TN;Canje;2026;9;2026-09;263800;-1.574509;Estable
Maíz;ARS;TN;Compraventa;2026;9;2026-09;283680;4.640354;Estable
Maíz;USD;TN;Canje;2026;9;2026-09;205.95;5.615385;Suba moderada
Maíz;USD;TN;Compraventa;2026;9;2026-09;200;2.600934;Estable
Soja;ARS;TN;Canje;2026;9;2026-09;559620;9.761695;Suba moderada
Soja;ARS;TN;Compraventa;2026;9;2026-09;560000;9.803922;Suba moderada
Soja;USD;TN;Canje;2026;9;2026-09;365;3.693182;Estable
Soja;USD;TN;Compraventa;2026;9;2026-09;363;4.011461;Estable
Sorgo;ARS;TN;Canje;2026;9;2026-09;272525;1.210703;Estable
Sorgo;ARS;TN;Compraventa;2026;9;2026-09;272600;-0.605265;Estable
Sorgo;USD;TN;Compraventa;2026;9;2026-09;183;-1.081081;Estable
TRIGO CAND.;ARS;TN;Compraventa;2026;9;2026-09;405598;26.670206;Suba fuerte
TRIGO CAND.;USD;TN;Compraventa;2026;9;2026-09;263.45;-30.898361;Baja
TRIGO PAN;ARS;TN;Canje;2026;9;2026-09;346500;8.757404;Suba moderada
TRIGO PAN;ARS;TN;Compraventa;2026;9;2026-09;355000;9.324957;Suba moderada
TRIGO PAN;USD;TN;Canje;2026;9;2026-09;240;4.872187;Estable
TRIGO PAN;USD;TN;Compraventa;2026;9;2026-09;240;4.347826;Estable
