año;mes;periodo_ym;commodity;moneda;unidad;tipo_precio;fuente;operaciones;precio_promedio;precio_mediana;precio_min;precio_max;volumen_total;precio_ponderado_volumen;dias_con_datos;variacion_mensual_pct;variacion_interanual_pct
2026;6;2026-06;Girasol;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;1620;397.504235;400;290;455;325670.73;401.425065;24;5.263158;
2026;6;2026-06;Maíz;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;792;254459.80303;255600;192208;465000;123063.17;248692.569908;23;0.448008;
2026;6;2026-06;Maíz;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;7849;254473.707647;257045;180;475000;1993976.77;257382.965727;29;0.046122;
2026;6;2026-06;Maíz;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;817;187.16481;182;143;910;184558.53;189.295279;22;-7.204405;
2026;6;2026-06;Maíz;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;3414;180.970521;180;133.5;300;1654523.56;181.624134;26;-5.263158;
2026;6;2026-06;Soja;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;3105;457525.42351;464332;325;591000;252563.31;458310.268383;24;2.875804;
2026;6;2026-06;Soja;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;27445;458107.434615;465000;465;750000;9165972.7;460570.607913;30;1.461925;
2026;6;2026-06;Soja;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;799;338.24413;330.53;90;419;113572.6;332.242301;22;-6.14476;
2026;6;2026-06;Soja;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;1917;316.095743;315;180;450;798750.58;320.615364;21;-1.777362;
2026;6;2026-06;Sorgo;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;70;267947.842857;267969;231000;288400;214686.23;267143.97741;20;2.277854;
2026;6;2026-06;Sorgo;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;376;276131.832447;279000;130000;477700;50215.77;280247.397484;24;2.124856;
2026;6;2026-06;Sorgo;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;26;192.902692;195;118.86;222.18;4582.41;188.410138;10;-1.515152;
2026;6;2026-06;Sorgo;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;585;191.766359;193;104.78;205;144887.93;194.206208;22;-2.525253;
2026;6;2026-06;TRIGO CAND.;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;23;316920.73913;299300;239238;423056;6504.34;317545.815658;14;-4.606338;
2026;6;2026-06;TRIGO CAND.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;2;246.475;246.475;235.1;257.85;8900;238.167416;2;4.882979;
2026;6;2026-06;TRIGO PAN;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;347;292146.285303;295500;213762;375000;22458.02;294946.022967;22;1.441813;
2026;6;2026-06;TRIGO PAN;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;5187;302284.746819;299000;1000;490000;1269334.16;309896.894479;28;0.556593;
2026;6;2026-06;TRIGO PAN;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;238;208.869286;207;177;243.84;36107.08;209.23084;21;-7.506702;
2026;6;2026-06;TRIGO PAN;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;2016;209.375848;207;166.96;380;822802.12;211.061443;26;-8;
2026;7;2026-07;ACEITE SOJA;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;2;1234015;1234015;1221940;1246090;59.74;1233962.447272;2;2.063156;
2026;7;2026-07;ACEITE SOJA;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;10;1257766.6;1280000;750456;1460000;171.54;1226874.06599;8;1.587302;
2026;7;2026-07;ACEITE SOJA;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;86;934.77314;940;400;1060.5;5075.33;932.490435;22;-2.083333;
2026;7;2026-07;ARROZ C.L.A;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;34;395353.235294;400000;360000;436360;975.96;398033.974138;10;0;
2026;7;2026-07;ARROZ C.L.A;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;11;395454.545455;400000;370000;400000;144.69;399664.800608;7;0;
2026;7;2026-07;ARROZ C.L.F;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;76;281977.934211;300000;220000;300000;11277.8;272326.281706;10;0;
2026;7;2026-07;ARROZ C.L.F;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;79;279086.860759;270000;230000;365000;18785.71;281749.697043;14;-6.208966;
2026;7;2026-07;CEBADA CERV.;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;1;300000;300000;300000;300000;3.15;300000;1;;
2026;7;2026-07;CEBADA CERV.;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;4;233.75;235;230;235;450;234.333333;4;1.075269;
2026;7;2026-07;CEBADA CERV.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;365;216.997425;210;175;271.43;152111.37;217.488611;21;0;
2026;7;2026-07;CEBADA FORR.;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;9;265291.888889;282000;190000;285544;1850;281580.145946;5;-1.225919;
2026;7;2026-07;CEBADA FORR.;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;26;195.226154;192;188;222.24;4280.42;196.511457;13;-1.538462;
2026;7;2026-07;CEBADA FORR.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;350;193.443514;193;175;240;81845.53;195.928843;23;-2.525253;
2026;7;2026-07;Girasol;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;64;642502.1875;658537.5;534005;766440;2219.1;642741.165716;19;10.652536;
2026;7;2026-07;Girasol;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;950;655305.8;662625;420;887299;64768.69;660475.068317;24;10.070598;
2026;7;2026-07;Girasol;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;95;411.563895;400;330;480;15956.8;416.926853;19;2.564103;
2026;7;2026-07;Girasol;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;1243;413.61646;408;174.34;500;286192.16;406.778344;26;2;
2026;7;2026-07;Maíz;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;1119;266804.297587;266700;1000;513000;135917.81;262384.735413;27;4.342723;
2026;7;2026-07;Maíz;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;13589;267358.069726;268920;182;510000;2803504.75;270595.336563;29;4.619814;
2026;7;2026-07;Maíz;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;1946;195.783407;192.96;118.46;391.84;511784.98;193.184474;25;6.021978;
2026;7;2026-07;Maíz;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;5840;185.445418;187;10;335;3624601.65;186.825392;29;3.888889;
2026;7;2026-07;Soja;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;1671;479176.274686;481000;17384;520000;101779.94;486192.202794;27;3.589673;
2026;7;2026-07;Soja;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;21385;486708.609493;490000;475;644000;4397985.25;491477.597389;29;5.376344;
2026;7;2026-07;Soja;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;726;348.156322;346.05;185;415.55;104990.85;336.87713;24;4.695489;
2026;7;2026-07;Soja;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;2478;328.545658;330;175;450;1049037.73;331.977913;27;4.761905;
2026;7;2026-07;Sorgo;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;55;263512.927273;266400;181765;285500;38795.67;263338.440605;15;-0.585515;
2026;7;2026-07;Sorgo;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;411;262261.068127;266530;26300;310590;66906.68;261769.726259;23;-4.469534;
